Index, X, Y, Depth
1623, 491.51, 1201.26, 238.96
1624, 574.47, 1850.65, 172.41
1625, 477.14, 1871.77, 168.90
1626, 779.81, 1672.09, 188.26
1627, 628.58, 1700.62, 185.11
1628, 336.99, 929.62, 274.54
1629, 751.00, 1402.02, 216.20
1630, 178.37, 1706.61, 168.87
1631, 898.82, 1039.09, 256.82
1632, 479.31, 1687.18, 183.04
1633, 934.90, 1901.40, 169.57
1634, 610.62, 1880.84, 170.60
1635, 735.40, 1867.82, 173.13
1636, 140.54, 967.55, 247.98
1637, 281.66, 1190.36, 224.96
1638, 442.11, 1048.38, 262.12
1639, 611.16, 1675.52, 186.92
1640, 411.90, 1701.47, 179.59
1641, 994.53, 1915.40, 167.21
1642, 842.17, 1061.06, 257.70
1643, 1071.55, 1895.69, 165.43
1644, 1060.13, 1907.87, 165.46
1645, 220.93, 1463.45, 192.03
1646, 185.08, 1673.45, 172.43
1647, 691.07, 1615.80, 193.78
1648, 1058.63, 1883.14, 166.81
1649, 236.27, 1029.35, 244.73
1650, 520.42, 1331.00, 222.19
1651, 464.55, 1823.55, 171.58
1652, 193.16, 972.61, 249.85
1653, 153.13, 1540.17, 181.80
1654, 667.62, 1732.90, 182.70
1655, 805.83, 1136.99, 250.40
1656, 381.73, 1265.87, 223.53
1657, 265.95, 892.42, 272.29
1658, 806.21, 1609.21, 193.96
1659, 1076.91, 1699.13, 181.47
1660, 797.41, 975.03, 275.76
1661, 174.01, 873.39, 267.62
1662, 750.97, 1836.10, 175.40
1663, 750.54, 1860.47, 173.67
1664, 414.45, 943.93, 279.82
1665, 691.39, 1148.67, 252.11
1666, 820.36, 950.11, 279.37
1667, 644.42, 1757.84, 180.72
1668, 381.18, 1450.41, 201.82
1669, 1055.13, 1054.02, 247.58
1670, 665.34, 1773.53, 179.65
1671, 830.01, 1266.16, 230.14
1672, 1067.79, 1006.54, 251.63
1673, 1058.63, 1883.14, 166.81
1674, 269.90, 966.39, 259.31
1675, 236.06, 1610.84, 180.37
1676, 655.85, 737.56, 337.77
1677, 996.86, 1551.96, 196.87
1678, 540.20, 1219.31, 239.08
1679, 732.11, 1249.72, 235.09
1680, 1003.04, 1818.16, 174.37
1681, 1013.70, 1807.65, 174.95
1682, 190.79, 1832.18, 159.24
1683, 550.61, 1796.18, 175.75
1684, 206.65, 1778.76, 165.19
1685, 695.03, 1897.24, 170.67
1686, 662.80, 1667.12, 188.96
1687, 385.63, 424.14, 446.77
1688, 138.95, 1292.01, 204.46
1689, 529.54, 1887.69, 168.77
1690, 740.22, 829.11, 311.06
1691, 653.61, 741.36, 336.99
1692, 944.42, 1785.63, 178.17
1693, 372.75, 1518.95, 195.29
1694, 366.52, 1742.48, 174.52
1695, 710.19, 1676.03, 188.64
1696, 528.44, 1793.91, 175.79
1697, 356.78, 815.99, 303.22
1698, 984.85, 1890.14, 169.09
1699, 590.16, 1887.40, 169.96
1700, 336.99, 929.62, 274.54
1701, 991.67, 1886.66, 169.17
1702, 359.52, 1010.28, 261.10
1703, 706.95, 928.31, 289.54
1704, 995.28, 1861.25, 170.70
1705, 734.58, 1234.04, 237.10
1706, 903.47, 1908.74, 169.34
1707, 187.98, 894.33, 264.83
1708, 123.42, 932.54, 249.66
1709, 401.52, 381.48, 430.22
1710, 133.51, 962.03, 249.20
1711, 364.18, 419.76, 448.94
