Index, X, Y, Disparity
1156, 369.41, 1386.57, 106.07
1157, 188.36, 480.83, 75.21
1158, 367.99, 1362.82, 104.91
1159, 471.89, 1859.47, 123.92
1160, 296.40, 1798.52, 124.86
1161, 224.99, 890.14, 90.99
1162, 940.57, 1401.60, 114.73
1163, 392.07, 732.44, 76.47
1164, 202.23, 1620.37, 121.20
1165, 535.99, 1410.49, 104.44
1166, 481.40, 712.62, 75.03
1167, 1002.66, 1471.61, 119.84
1168, 311.06, 1077.81, 95.28
1169, 376.02, 1732.20, 119.83
1170, 248.14, 1821.27, 127.37
1171, 929.08, 1318.47, 111.18
1172, 505.12, 1405.67, 104.62
1173, 471.59, 1323.03, 101.02
1174, 639.95, 1641.65, 115.21
1175, 316.95, 1453.47, 109.81
1176, 311.00, 1805.07, 124.64
1177, 857.20, 1353.46, 109.23
1178, 514.46, 753.60, 76.92
1179, 689.14, 826.43, 80.79
1180, 712.15, 992.19, 87.46
1181, 832.61, 1569.54, 116.92
1182, 453.65, 1834.12, 123.12
1183, 1025.16, 1311.53, 115.20
1184, 186.72, 1668.40, 124.03
1185, 448.11, 888.67, 82.04
1186, 365.62, 1831.97, 124.30
1187, 764.16, 1051.92, 91.68
1188, 740.55, 871.17, 84.05
1189, 513.85, 1898.92, 125.31
1190, 501.20, 1785.03, 120.49
1191, 429.10, 1903.14, 125.84
1192, 815.03, 1094.35, 96.03
1193, 587.95, 829.09, 73.57
1194, 376.33, 1254.56, 99.81
1195, 968.45, 1276.98, 112.02
1196, 934.14, 1239.40, 108.54
1197, 284.95, 711.64, 80.55
1198, 460.96, 1150.15, 93.31
1199, 874.99, 1148.81, 101.69
1200, 753.91, 1111.60, 94.08
1201, 945.85, 1389.94, 114.70
1202, 805.52, 1795.90, 126.40
1203, 675.88, 1065.01, 90.40
1204, 955.00, 1463.18, 117.57
1205, 269.90, 816.86, 85.75
1206, 427.26, 899.03, 83.87
1207, 180.86, 499.94, 76.22
1208, 946.76, 1402.92, 114.70
1209, 992.89, 1455.07, 118.65
1210, 177.56, 1695.01, 126.26
1211, 370.38, 1680.57, 117.82
1212, 438.05, 654.96, 74.22
1213, 440.46, 1169.63, 94.80
1214, 494.78, 1493.45, 108.19
1215, 740.55, 871.17, 84.05
1216, 242.37, 1649.76, 120.54
1217, 613.48, 1870.23, 124.31
1218, 297.46, 1802.94, 124.94
1219, 710.24, 1907.33, 126.98
1220, 218.91, 601.13, 78.23
1221, 195.25, 666.81, 82.93
1222, 197.22, 1815.59, 129.38
1223, 429.33, 987.74, 86.84
1224, 980.42, 1590.35, 124.90
1225, 111.35, 604.56, 83.97
1226, 952.88, 1375.75, 114.86
1227, 446.65, 796.74, 79.11
1228, 783.97, 968.46, 89.20
1229, 498.29, 1466.60, 106.89
1230, 572.10, 1536.41, 109.31
1231, 416.53, 1677.92, 116.60
1232, 842.81, 1071.38, 96.87
1233, 155.85, 607.37, 81.99
1234, 211.00, 1720.99, 124.83
1235, 303.51, 1860.01, 126.97
1236, 567.21, 1853.03, 123.39
1237, 715.99, 1239.06, 99.54
1238, 229.60, 1549.94, 117.26
1239, 332.49, 1106.17, 95.38
1240, 937.57, 1439.53, 115.69
1241, 780.93, 993.95, 90.57
1242, 343.38, 620.06, 74.63
1243, 914.24, 1387.25, 112.68
1244, 224.40, 1504.65, 116.01
1245, 835.07, 1263.85, 104.29
1246, 608.10, 1819.92, 122.07
1247, 437.73, 1440.57, 106.71
1248, 161.91, 1750.24, 128.87
1249, 677.68, 933.12, 84.32
1250, 816.84, 818.53, 82.26
1251, 1074.50, 1324.73, 117.47
1252, 181.30, 505.38, 76.60
1253, 462.79, 690.53, 77.36
1254, 219.07, 1742.07, 125.32
1255, 517.67, 1868.08, 123.47
1256, 296.40, 1798.52, 124.86
1257, 427.33, 1849.35, 123.89
1258, 360.65, 930.61, 86.71
1259, 903.20, 1589.67, 120.17
1260, 520.78, 1435.76, 105.61
1261, 514.59, 1089.20, 90.10
1262, 448.18, 755.85, 77.35
1263, 399.82, 1190.36, 96.82
1264, 936.66, 1527.24, 119.19
1265, 710.04, 1828.43, 123.73
1266, 127.37, 516.07, 79.86
1267, 685.27, 974.19, 86.75
1268, 141.96, 616.25, 54.02
1269, 441.20, 671.62, 74.11
1270, 632.36, 1256.27, 98.62
1271, 508.69, 820.50, 80.03
1272, 767.50, 1902.34, 128.18
1273, 929.80, 1223.25, 107.47
1274, 275.53, 573.20, 75.16
1275, 608.01, 953.91, 84.08
1276, 487.59, 718.60, 75.54
1277, 219.07, 1742.07, 125.32
1278, 815.09, 1184.52, 100.38
1279, 197.46, 617.99, 80.44
1280, 937.94, 1389.62, 114.43
1281, 358.15, 689.29, 76.91
1282, 359.77, 1777.77, 122.75
1283, 705.44, 828.48, 80.50
1284, 148.29, 598.23, 81.69
1285, 868.83, 1138.22, 100.60
1286, 343.13, 1603.35, 115.56
1287, 485.95, 689.59, 78.94
1288, 498.64, 1573.18, 111.46
1289, 367.99, 1362.82, 104.91
1290, 248.78, 567.15, 76.09
1291, 326.64, 648.87, 76.28
1292, 186.56, 1779.00, 128.62
1293, 342.86, 632.00, 74.32
1294, 609.69, 1295.84, 100.49
1295, 215.40, 562.81, 77.17
1296, 347.06, 880.79, 84.82
1297, 460.99, 1408.35, 105.06
